"entidad","nom_abr","cve_ent","municipio","cve_mun"
"Guerrero","Gro.",12,"San Miguel Totolapan","12_54"
"Guerrero","Gro.",12,"Taxco de Alarcón","12_55"
"Guerrero","Gro.",12,"Tecoanapa","12_56"
"Guerrero","Gro.",12,"Técpan de Galeana","12_57"
"Guerrero","Gro.",12,"Teloloapan","12_58"
"Guerrero","Gro.",12,"Tepecoacuilco de Trujano","12_59"
"Guerrero","Gro.",12,"Tetipac","12_60"
"Guerrero","Gro.",12,"Tixtla de Guerrero","12_61"
"Guerrero","Gro.",12,"Tlacoachistlahuaca","12_62"
"Guerrero","Gro.",12,"Tlacoapa","12_63"
"Guerrero","Gro.",12,"Tlalchapa","12_64"
"Guerrero","Gro.",12,"Tlalixtaquilla de Maldonado","12_65"
"Guerrero","Gro.",12,"Tlapa de Comonfort","12_66"
"Guerrero","Gro.",12,"Tlapehuala","12_67"
"Guerrero","Gro.",12,"La Unión de Isidoro Montes de Oca","12_68"
"Guerrero","Gro.",12,"Xalpatláhuac","12_69"
"Guerrero","Gro.",12,"Xochihuehuetlán","12_70"
"Guerrero","Gro.",12,"Xochistlahuaca","12_71"
"Guerrero","Gro.",12,"Zapotitlán Tablas","12_72"
"Guerrero","Gro.",12,"Zirándaro","12_73"
"Guerrero","Gro.",12,"Zitlala","12_74"
"Guerrero","Gro.",12,"Eduardo Neri","12_75"
"Guerrero","Gro.",12,"Acatepec","12_76"
"Guerrero","Gro.",12,"Marquelia","12_77"
"Guerrero","Gro.",12,"Cochoapa el Grande","12_78"
"Guerrero","Gro.",12,"José Joaquín de Herrera","12_79"
"Guerrero","Gro.",12,"Juchitán","12_80"
"Guerrero","Gro.",12,"Iliatenco","12_81"
"Hidalgo","Hgo.",13,"Acatlán","13_1"
"Hidalgo","Hgo.",13,"Acaxochitlán","13_2"
"Hidalgo","Hgo.",13,"Actopan","13_3"
"Hidalgo","Hgo.",13,"Agua Blanca de Iturbide","13_4"
"Hidalgo","Hgo.",13,"Ajacuba","13_5"
"Hidalgo","Hgo.",13,"Alfajayucan","13_6"
"Hidalgo","Hgo.",13,"Almoloya","13_7"
